Is-Anti virus and-malware installed on all workstations of the bidder?,"Yes, We  have an antivirus software at each critical information end point (firewalls, email servers) aand at each workstation and server. The software is configured to check all files automatically on access, downloads, and email. 
We also Install updates to antivirus software and signature files everyday."
Will your organization process or store Cystic Fibrosis data?,Yes
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,"Yes, we provide both Server side validations(backend validations) as well as Client level validations(JS validations)"
Is-Anti virus and-malware installed on all workstations of the bidder?,"Yes, We  have an antivirus software at each critical information end point (firewalls, email servers) aand at each workstation and server. The software is configured to check all files automatically on access, downloads, and email. 
We also Install updates to antivirus software and signature files everyday."
Will your organization process or store Cystic Fibrosis data?,"There is no answer.
"
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,"Hello world
"
Is-Anti virus and-malware installed on all workstations of the bidder?,"Yes, We  have an antivirus software at each critical information end point (firewalls, email servers) aand at each workstation and server. The software is configured to check all files automatically on access, downloads, and email. 
We also Install updates to antivirus software and signature files everyday."
Will your organization process or store Cystic Fibrosis data?,Yes
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,Yes
Is-Anti virus and-malware installed on all workstations of the bidder?,"Yes, We  have an antivirus software at each critical information end point (firewalls, email servers) aand at each workstation and server. The software is configured to check all files automatically on access, downloads, and email. 
We also Install updates to antivirus software and signature files everyday."
Is-Anti virus and-malware installed on all workstations of the bidder?,"euifb
"
Is-Anti virus and-malware installed on all workstations of the bidder?,"euifb
"
Will your organization process or store Cystic Fibrosis data?,"weff
"
Is-Anti virus and-malware installed on all workstations of the bidder?,"Yes, We  have an antivirus software at each critical information end point (firewalls, email servers) aand at each workstation and server. The software is configured to check all files automatically on access, downloads, and email. 
We also Install updates to antivirus software and signature files everyday."
Will your organization process or store Cystic Fibrosis data?,"frn
"
Is-Anti virus and-malware installed on all workstations of the bidder?,"euifb
"
Will your organization process or store Cystic Fibrosis data?,"Hello World
"
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,Yes
Is-Anti virus and-malware installed on all workstations of the bidder?,"euifb
"
Will your organization process or store Cystic Fibrosis data?,Yes
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,Yes
Is-Anti virus and-malware installed on all workstations of the bidder?,"euifb
"
Will your organization process or store Cystic Fibrosis data?,Yes
Is there a  documented internal privacy policy?,Yes
Do you provide insurance coverage for privacy breaches?,Yes
Is client data regularly backed up?,Yes
